Timestamp,Temperature (C),Humidity (%),Pressure (hPa)
2024-07-09 11:46:01.305833,28.49,74.79,955.07
2024-07-09 11:46:02.312970,28.35,73.65,954.97
2024-07-09 11:46:03.314802,28.56,75.0,955.04
2024-07-09 11:46:04.319622,28.71,76.07,955.01
2024-07-09 11:46:05.319683,28.84,76.8,955.04
2024-07-09 11:46:06.326017,28.89,77.09,955.04
2024-07-09 11:46:07.325039,28.89,77.19,954.99
2024-07-09 11:46:08.330506,29.12,77.87,955.04
2024-07-09 11:46:09.323542,29.18,78.15,954.99
2024-07-09 11:46:10.328825,28.79,75.49,955.01
2024-07-09 11:46:11.332780,28.95,76.6,954.98
2024-07-09 11:46:12.336221,29.06,77.56,954.99
2024-07-09 11:46:13.340197,28.87,76.08,955.03
2024-07-09 11:46:14.342428,29.0,77.27,954.99
2024-07-09 11:46:15.344476,28.93,76.55,955.04
2024-07-09 11:46:16.342509,28.83,75.77,955.02
2024-07-09 11:46:17.349464,28.93,77.26,954.99
2024-07-09 11:46:18.347225,28.71,75.46,955.04
2024-07-09 11:46:19.347835,28.83,76.81,955.03
2024-07-09 11:46:20.353259,28.65,74.55,955.03
2024-07-09 11:46:21.358925,28.78,76.25,955.02
2024-07-09 11:46:22.356950,28.81,77.15,955.02
2024-07-09 11:46:23.358493,28.78,77.37,955.05
2024-07-09 11:46:24.363302,28.75,77.38,955.03
2024-07-09 11:46:25.369577,28.79,77.68,955.03
2024-07-09 11:46:26.373449,28.77,77.74,955.04
2024-07-09 11:46:27.369832,28.6,74.69,955.02
2024-07-09 11:46:28.379330,28.75,76.76,955.03
2024-07-09 11:46:29.374070,28.73,77.42,955.01
2024-07-09 11:46:30.378928,28.5,73.28,955.02
2024-07-09 11:46:31.378433,28.68,75.78,955.0
2024-07-09 11:46:32.389149,28.63,75.82,955.05
2024-07-09 11:46:33.388459,28.39,71.53,955.0
2024-07-09 11:46:34.387400,28.43,71.65,955.02
2024-07-09 11:46:35.393311,28.38,70.43,955.04
2024-07-09 11:46:36.398890,28.64,74.79,955.04
2024-07-09 11:46:37.399107,28.74,76.68,955.03
2024-07-09 11:46:38.402678,28.71,77.22,955.03
2024-07-09 11:46:39.403364,28.71,77.54,955.05
2024-07-09 11:46:40.401436,28.72,77.82,955.06
2024-07-09 11:46:41.408760,28.72,78.03,955.03
2024-07-09 11:46:42.414122,28.72,78.16,955.07
2024-07-09 11:46:43.407664,28.72,78.22,955.03
2024-07-09 11:46:44.411991,28.71,77.96,955.08
2024-07-09 11:46:45.412321,28.53,75.33,955.07
2024-07-09 11:46:46.419054,28.62,76.83,955.04
2024-07-09 11:46:47.416097,28.6,76.82,955.05
2024-07-09 11:46:48.421911,28.48,75.08,955.02
